role,path,exists,bytes,sha256,schema,p3a_compatibility,reason
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h0_client3.npz,True,3031138,9A3A7E1B50E05E3E01A99E2B8E0050CC32F02A4744AB099105F8EB1B8DFC3114,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h0_client3.npz,True,14393759,CDC8A02C8F47B1A1866EF55D56B1F7BF46DE10462B86F533709CF5D6F3D1E899,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h9_client0.npz,True,3048448,E7C933771FF70BEC9ED0401B783D18DEDD7543A0C4161BD6EABAF28BD24828CC,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h9_client0.npz,True,14409000,CA3A80F4192F04924300FA303525AA11B2513AB247F2E1F011B514336AE47C1B,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h9_client1.npz,True,3036682,3371704A7315C62B72979511C5230412BBF2B70DA4F53CBE5D0E50B4D6FDEF34,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h9_client1.npz,True,14388478,7DCB3C582271E841C07B1F41B31092BDD73F749BFC95CFFA2E8A1B929D81819C,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h9_client2.npz,True,3033667,E6550D9A01803CD7979DA6402B586A84314D156294D7BD310A7B986C3198F401,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h9_client2.npz,True,14397981,AC860560337A25DC7C7B3C572DC1D1E4699B090F58518F4351F97D1B3138A02B,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h9_client3.npz,True,3038375,27588222C02C2C81CC4A71C63BE7EDD8DD71FD6F4FAE829DD936F6F508B4AC78,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h9_client3.npz,True,14402613,A7ABC8727FD1FD107AB1A5F3B3BE5C909DD865FD5D2840100281A34503BBF316,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/l0_client0.npz,True,3047577,AE5E62269E94187382E36C46B54F23B8CCF59AC678C20827C1B877316D091E04,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/l0_client0.npz,True,14413866,28130E3133A587E757143D6CA700150BA1728E4BFC1EECA6C83585A6AB16B9F1,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/l0_client1.npz,True,3041111,FE595D8295E40CA5FEB114AF58BAC9192E105D8D7E0E3E90E1F4C4DD74D6E511,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/l0_client1.npz,True,14402183,B416E4ED0B517EB1A7F5952168B5985E79184596E64F5892091545D9FB4DA030,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/l0_client2.npz,True,3043243,CB69D62C0D4709F32B4C1E82691C0468A7555387B77BECB18F891EEA48803119,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/l0_client2.npz,True,14424434,BB12920C45E34FDC37B027948459C4E2DA2E97FF63C9D2974E431117132FB5EC,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/l0_client3.npz,True,3031261,06570FB1BBF21FDC1727F0C5EBC76E13E35564E5EFA89C1A879925A2989E5809,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/l0_client3.npz,True,14387143,3CA74289487145372A098C0DD376F52B2460A101D987906A009D1A6259E69B38,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/l9_client0.npz,True,3048448,E7C933771FF70BEC9ED0401B783D18DEDD7543A0C4161BD6EABAF28BD24828CC,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
